,marca,preço,link
394,"PELÍCULA SILICONE TRANSPARENTE PARA TECLADO DE NOTEBOOK 26,5CM X 11CM","R$ 19,22",https://www.kabum.com.br//produto/245461/pelicula-silicone-transparente-para-teclado-de-notebook-26-5cm-x-11cm
395,"TRAVA PARA NOTEBOOK CADEADO COM CHAVE PRETO, 1.5M, CABO DE AÇO PRETO, FEASSO - FCL-01","R$ 48,71",https://www.kabum.com.br//produto/297531/trava-para-notebook-cadeado-com-chave-preto-1-5m-cabo-de-aco-preto-feasso-fcl-01
396,FONTE CARREGADOR ALTOMEX UNIVERSAL NOTEBOOK LAPTOP CCE POSITIVO ACER,"R$ 51,90",https://www.kabum.com.br//produto/267543/fonte-carregador-altomex-universal-notebook-laptop-cce-positivo-acer
397,FONTE CARREGADOR ALTOMEX UNIVERSAL NOTEBOOK LAPTOP ACER POSITIVO,"R$ 48,90",https://www.kabum.com.br//produto/267558/fonte-carregador-altomex-universal-notebook-laptop-acer-positivo
398,CARREGADOR UNIVERSAL PORTÁTIL PARA NOTEBOOK POWER 120W,"R$ 48,90",https://www.kabum.com.br//produto/267560/carregador-universal-portatil-para-notebook-power-120w
399,"CARREGADOR GOLDENTEC UNIVERSAL 90W, 3 EM 1, COM QI, PARA NOTEBOOK E SMARTPHONE","R$ 156,65",https://www.kabum.com.br//produto/221110/carregador-goldentec-universal-90w-3-em-1-com-qi-para-notebook-e-smartphone
400,"FONTE CARREGADOR PARA NOTEBOOK SONY VAIO VGN-SZ SERIES 19,5V 493","R$ 94,77",https://www.kabum.com.br//produto/320792/fonte-carregador-para-notebook-sony-vaio-vgn-sz-series-19-5v-493
401,FONTE CARREGADOR PARA ACER ASPIRE 3 A315-51-380T 19V 65W 479 - VOLTAGEM DE ENTRADA,"R$ 78,99",https://www.kabum.com.br//produto/271622/fonte-carregador-para-acer-aspire-3-a315-51-380t-19v-65w-479-voltagem-de-entrada
402,FONTE CARREGADOR PARA ACER A515-51-51UX 19V 3.42A 65W 479 - VOLTAGEM DE ENTRADA,"R$ 78,99",https://www.kabum.com.br//produto/271859/fonte-carregador-para-acer-a515-51-51ux-19v-3-42a-65w-479-voltagem-de-entrada
403,FONTE CARREGADOR P/ MICROSOFT SURFACE BOOK 2 MODELO A1798  15V 6.33A 102W,"R$ 319,99",https://www.kabum.com.br//produto/275485/fonte-carregador-p-microsoft-surface-book-2-modelo-a1798-15v-6-33a-102w
404,"NOTEBOOK MULTI M11W PRIME 2 EM 1, INTEL CELERON N4020, 4GB, SSD 64GB, TELA 11.6 HD, WINDOWS 11 HOME, PRATA - PC280","R$ 1.286,10",https://www.kabum.com.br//produto/273647/notebook-multi-m11w-prime-2-em-1-intel-celeron-n4020-4gb-ssd-64gb-tela-11-6-hd-windows-11-home-prata-pc280
405,FONTE CARREGADOR ACER ASPIRE ES1-572-37PZ 19V 3.42A 65W BY06 479 - VOLTAGEM DE ENTRADA,"R$ 78,99",https://www.kabum.com.br//produto/271344/fonte-carregador-acer-aspire-es1-572-37pz-19v-3-42a-65w-by06-479-voltagem-de-entrada
406,"CAPA PASTA MALETA NOTEBOOK, PRETO","R$ 41,76",https://www.kabum.com.br//produto/377225/capa-pasta-maleta-notebook-preto
407,FONTE CARREGADOR PARA ASUS VIVOBOOK S451LA 19V 3.42A 394 - 110V/220V (BIVOLT),"R$ 76,77",https://www.kabum.com.br//produto/297423/fonte-carregador-para-asus-vivobook-s451la-19v-3-42a-394-110v-220v-bivolt-
408,"CAPA DEX PARA NOTEBOOK 14 POLEGADAS EM NEOPRENE, PRETO","R$ 49,40",https://www.kabum.com.br//produto/258944/capa-dex-para-notebook-14-polegadas-em-neoprene-preto
409,CASE P/ NOTEBOOK 14´´ RELIZA 20511/004 PRETO,"R$ 49,90",https://www.kabum.com.br//produto/119449/case-p-notebook-14-reliza-20511-004-preto
410,FONTE CARREGADOR COMPATÍVEL COM A4819 A4819FDY TV SAMSUNG DE 19V 644,"R$ 75,05",https://www.kabum.com.br//produto/298279/fonte-carregador-compativel-com-a4819-a4819fdy-tv-samsung-de-19v-644
411,"NOTEBOOK SAMSUNG BOOK 15.6"" FULL HD, INTEL CORE I3, 11A GERAÇÃO, 1115G4 4.1GHZ, 4GB, DDR4 256GB, LINUX - NP550XDZ-KV6BR","R$ 2.799,90",https://www.kabum.com.br//produto/358069/notebook-samsung-book-15-6-full-hd-intel-core-i3-11a-geracao-1115g4-4-1ghz-4gb-ddr4-256gb-linux-np550xdz-kv6br
412,"NOTEBOOK COMPAQ PRESARIO 430, INTEL CORE I3-6157U, 4GB, 120GB, W10, 14.1""","R$ 1.694,75",https://www.kabum.com.br//produto/234242/notebook-compaq-presario-430-intel-core-i3-6157u-4gb-120gb-w10-14-1-
413,BASE PARA NOTEBOOK NOTEPAL L2 FAN 160MM LED AZUL UBS 2.0 MNW-SWTS-14FN-R1 - COOLER MASTER,"R$ 83,30",https://www.kabum.com.br//produto/283994/base-para-notebook-notepal-l2-fan-160mm-led-azul-ubs-2-0-mnw-swts-14fn-r1-cooler-master
414,"COMPUTADOR FÁCIL AMD RYZEN 5, 5600G, RADEON VEGA 7 GRAPHICS, 8GB DDR4, 3000MHZ, SSD 960GB","R$ 2.739,00",https://www.kabum.com.br//produto/378976/computador-facil-amd-ryzen-5-5600g-radeon-vega-7-graphics-8gb-ddr4-3000mhz-ssd-960gb
415,"USADO: NOTEBOOK GAMER ACER NITRO 5 AN515-55-51D3, INTEL CORE I5-10300H, 8GB RAM, GTX 1650, SSD 512GB, TELA 15.6 POLEGADAS, WINDOWS 10 - OURO","R$ 4.894,00",https://www.kabum.com.br//produto/431108/usado-notebook-gamer-acer-nitro-5-an515-55-51d3-intel-core-i5-10300h-8gb-ram-gtx-1650-ssd-512gb-tela-15-6-polegadas-windows-10-ouro
416,"FONTE CARREGADOR PARA DELL INSPIRON PA-1650-02D4 19.5V 823, VOLTAGEM DE ENTRADA","R$ 98,89",https://www.kabum.com.br//produto/216251/fonte-carregador-para-dell-inspiron-pa-1650-02d4-19-5v-823-voltagem-de-entrada
417,"FONTE CARREGADOR PARA HP PAVILION HP 240 G6 19.5V 3.33A 761, VOLTAGEM DE ENTRADA","R$ 102,00",https://www.kabum.com.br//produto/294007/fonte-carregador-para-hp-pavilion-hp-240-g6-19-5v-3-33a-761-voltagem-de-entrada
418,"NOTEBOOK LENOVO IDEAPAD 3I, I7-1165G7, 8GB RAM, SSD 256GB, TELA 15.6 FULL HD, INTEL IRIS XE, LINUX - 82MDS00400","R$ 3.457,09",https://www.kabum.com.br//produto/380587/notebook-lenovo-ideapad-3i-i7-1165g7-8gb-ram-ssd-256gb-tela-15-6-full-hd-intel-iris-xe-linux-82mds00400
419,FONTE CARREGADOR PARA NOTEBOOK APPLE MACBOOK PRO A1278 16.5V 3.65A 60W PINO MAGSAFE L,"R$ 169,99",https://www.kabum.com.br//produto/237437/fonte-carregador-para-notebook-apple-macbook-pro-a1278-16-5v-3-65a-60w-pino-magsafe-l
420,"NOTEBOOK ASUS ROG STRIX G15 G513IE-PH74 15.6"" AMD RYZEN 7 4800H RTX 3050 TI 4 GB - CINZA.","R$ 14.500,00",https://www.kabum.com.br//produto/393613/notebook-asus-rog-strix-g15-g513ie-ph74-15-6-amd-ryzen-7-4800h-rtx-3050-ti-4-gb-cinza-
421,"""USADO:NOTEBOOK ACER ASPIRE 3 A514-53-339S,PRATA,INTEL CORE I3,1005G1 - RAM 8GB, SSD 512GB,TELA 14 POLEGADAS,WINDOWS 10 RECER OURO""","R$ 2.419,00",https://www.kabum.com.br//produto/431091/-usado-notebook-acer-aspire-3-a514-53-339s-prata-intel-core-i3-1005g1-ram-8gb-ssd-512gb-tela-14-polegadas-windows-10-recer-ouro-
422,"NOTEBOOK ASUS ZENBOOK INTEL CORE I7-1260P, 16GB RAM, SSD 1TB, 14 2,8K OLED, IRIS XE GRAPHIC, WINDOWS 11, AZUL ESCURO - UX3402ZA-KM532W","R$ 8.799,99",https://www.kabum.com.br//produto/397817/notebook-asus-zenbook-intel-core-i7-1260p-16gb-ram-ssd-1tb-14-2-8k-oled-iris-xe-graphic-windows-11-azul-escuro-ux3402za-km532w
423,"NOTEBOOK ASUS ZENBOOK 17 FOLD OLED INTEL CORE I7-1250U, 16GB RAM, SSD 1TB, 17,3 NANOEDGE 2.5K, WINDOWS 11, PRETO - UX9702AA-MD026W","R$ 26.999,99",https://www.kabum.com.br//produto/397822/notebook-asus-zenbook-17-fold-oled-intel-core-i7-1250u-16gb-ram-ssd-1tb-17-3-nanoedge-2-5k-windows-11-preto-ux9702aa-md026w
424,CARREGADOR FONTE NOTEBOOK POSITIVO CCE STI ASUS ITAUTEC LENOVO - 19V 3.42A,"R$ 85,40",https://www.kabum.com.br//produto/250901/carregador-fonte-notebook-positivo-cce-sti-asus-itautec-lenovo-19v-3-42a
